class_name;project_name;class_id;class_path;sonar_td_minutes;squore_td_minutes;cast_td_minutes;commits_count;code_churn_avg;contributors_count;contributors_experience;hunks_count;issue_tracker_issues;cbo;wmc;dit;rfc;lcom;total_methods;max_nested_blocks;total_variables;total_refactorings;duplicated_lines;comment_lines;ncloc;high-TD
JobFailMonitorHelper.java;xxl-job;AW-Z3VGZrInABnR0cIXZ;xxl-job-admin/src/main/java/com/xxl/job/admin/core/thread/JobFailMonitorHelper.java;85;32.5;1503.6;56;4;6;50.84;2;6;10;14;1;36;0;4;3;14;10;0;23;150;0
HttpJobHandler.java;xxl-job;AW-Z3VGWrInABnR0cIWN;xxl-job-executor-samples/xxl-job-executor-sample-jboot/src/main/java/com/xuxueli/executor/sample/jboot/jobhandler/HttpJobHandler.java;80;57.5;1154.4;2;40;2;97.59;1;6;3;7;2;18;0;1;3;7;0;66;12;56;0
HttpJobHandler.java;xxl-job;AW-Z3VGXrInABnR0cIWk;xxl-job-executor-samples/xxl-job-executor-sample-nutz/src/main/java/com/xuxueli/executor/sample/nutz/jobhandler/HttpJobHandler.java;80;57.5;1154.4;6;14;1;100;3;6;3;7;2;18;0;1;3;7;10;66;12;56;0
HttpJobHandler.java;xxl-job;AW-Z3VGXrInABnR0cIWt;xxl-job-executor-samples/xxl-job-executor-sample-jfinal/src/main/java/com/xuxueli/executor/sample/jfinal/jobhandler/HttpJobHandler.java;80;57.5;1154.4;5;16;1;100;3;6;3;7;2;18;0;1;3;7;4;66;12;56;0
JobLogController.java;xxl-job;AW-Z3VGbrInABnR0cIYN;xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobLogController.java;79;122;2064.6;54;5;3;82.58;3;7;22;37;1;46;0;7;3;26;99;0;16;182;1
JobGroupController.java;xxl-job;AW-Z3VGbrInABnR0cIYL;xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobGroupController.java;77;150;1707.3;22;8;2;55.62;3;2;12;44;1;31;0;6;4;18;10;72;10;135;1
HttpJobHandler.java;xxl-job;AW-Z3VGXrInABnR0cIWY;xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xuxueli/executor/sample/frameless/jobhandler/HttpJobHandler.java;70;67;1000.8;3;29;1;100;1;6;3;9;2;20;0;1;3;7;4;60;13;60;0
JacksonUtil.java;xxl-job;AW-Z3VGarInABnR0cIX2;xxl-job-admin/src/main/java/com/xxl/job/admin/core/util/JacksonUtil.java;62;30;291;10;18;3;80.25;1;2;5;13;1;9;0;4;1;3;2;0;32;53;0
XxlJobScheduler.java;xxl-job;AW-Z3VGZrInABnR0cIXW;xxl-job-admin/src/main/java/com/xxl/job/admin/core/scheduler/XxlJobScheduler.java;61;27.5;1159.2;11;10;3;94.57;2;10;14;8;1;40;4;4;1;4;1;0;19;65;0
XxlJobLogger.java;xxl-job;AW-Z3VGcrInABnR0cIYi;xxl-job-core/src/main/java/com/xxl/job/core/log/XxlJobLogger.java;60;0;722.7;14;6;2;73.12;2;14;5;6;1;20;3;3;1;10;8;0;28;40;0
JobLogReportHelper.java;xxl-job;AW-Z3VGZrInABnR0cIXc;xxl-job-admin/src/main/java/com/xxl/job/admin/core/thread/JobLogReportHelper.java;57;45;810;2;76;1;100;3;0;2;4;1;8;0;3;1;4;0;0;15;106;0
ExecutorRouteLFU.java;xxl-job;AW-Z3VGarInABnR0cIXq;xxl-job-admin/src/main/java/com/xxl/job/admin/core/route/strategy/ExecutorRouteLFU.java;53;15;963.6;12;7;2;51.94;2;0;4;11;2;21;1;2;2;8;12;0;12;54;0
CommandJobHandler.java;xxl-job;AW-Z3VGWrInABnR0cIWO;xxl-job-executor-samples/xxl-job-executor-sample-jboot/src/main/java/com/xuxueli/executor/sample/jboot/jobhandler/CommandJobHandler.java;46;57.5;1029.9;1;54;1;100;1;1;3;5;2;10;0;1;2;6;0;40;8;37;0
CommandJobHandler.java;xxl-job;AW-Z3VGWrInABnR0cIWW;xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xuxueli/executor/sample/frameless/jobhandler/CommandJobHandler.java;46;57.5;1029.9;1;54;1;100;1;1;3;5;2;10;0;1;2;6;0;40;8;37;0
